0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
443,2024091801023085,NABIL,32,60,17,557.00,"9,469.00"
444,2024091801023084,NABIL,32,16,83,557.00,"46,231.00"
445,2024091801023062,NABIL,11,16,50,557.00,"27,850.00"
446,2024091801023061,NABIL,36,16,350,557.00,"194,950.00"
447,2024091801023562,NABIL,45,38,187,557.00,"104,159.00"
448,2024091801023370,NABIL,45,6,118,557.00,"65,726.00"
449,2024091801023321,NABIL,50,60,56,556.00,"31,136.00"
450,2024091801023320,NABIL,40,60,20,556.10,"11,122.00"
451,2024091801023319,NABIL,25,60,147,556.10,"81,746.70"
452,2024091801023318,NABIL,13,60,40,556.20,"22,248.00"
453,2024091801023709,NABIL,48,19,10,556.00,"5,560.00"
454,2024091801023708,NABIL,50,19,44,556.00,"24,464.00"
455,2024091801023692,NABIL,28,38,21,556.50,"11,686.50"
456,2024091801023622,NABIL,38,38,250,556.50,"139,125.00"
457,2024091801023606,NABIL,22,38,50,556.50,"27,825.00"
458,2024091801023578,NABIL,48,38,20,556.50,"11,130.00"
459,2024091801023737,NABIL,54,19,100,556.00,"55,600.00"
460,2024091801023736,NABIL,57,19,10,556.00,"5,560.00"
461,2024091801023735,NABIL,29,19,100,556.00,"55,600.00"
462,2024091801023734,NABIL,42,19,22,556.00,"12,232.00"
463,2024091801023720,NABIL,36,38,350,556.50,"194,775.00"
464,2024091801023710,NABIL,42,19,78,556.00,"43,368.00"
465,2024091801023743,NABIL,29,19,50,556.00,"27,800.00"
466,2024091801023742,NABIL,25,19,30,556.00,"16,680.00"
467,2024091801023741,NABIL,56,19,10,556.00,"5,560.00"
468,2024091801023740,NABIL,41,19,10,556.00,"5,560.00"
469,2024091801023739,NABIL,17,19,20,556.00,"11,120.00"
470,2024091801023738,NABIL,45,19,50,556.00,"27,800.00"
471,2024091801023818,NABIL,6,19,10,556.00,"5,560.00"
472,2024091801023810,NABIL,33,19,100,556.00,"55,600.00"
473,2024091801023747,NABIL,57,19,333,556.00,"185,148.00"
474,2024091801023746,NABIL,6,19,10,556.00,"5,560.00"
475,2024091801023745,NABIL,42,19,10,556.00,"5,560.00"
476,2024091801023744,NABIL,56,19,200,556.00,"111,200.00"
477,2024091801024001,NABIL,44,19,25,555.30,"13,882.50"
478,2024091801023996,NABIL,44,58,15,555.30,"8,329.50"
479,2024091801023995,NABIL,58,58,10,555.50,"5,555.00"
480,2024091801023994,NABIL,25,58,100,555.50,"55,550.00"
481,2024091801023993,NABIL,7,58,25,555.50,"13,887.50"
482,2024091801023868,NABIL,42,19,32,556.00,"17,792.00"
483,2024091801024007,NABIL,48,19,50,555.00,"27,750.00"
484,2024091801024006,NABIL,22,19,50,555.00,"27,750.00"
485,2024091801024005,NABIL,41,19,87,555.00,"48,285.00"
486,2024091801024004,NABIL,11,19,150,555.10,"83,265.00"
487,2024091801024003,NABIL,57,19,99,555.10,"54,954.90"
488,2024091801024002,NABIL,34,19,100,555.20,"55,520.00"
489,2024091801024013,NABIL,26,19,180,555.00,"99,900.00"
490,2024091801024012,NABIL,42,19,100,555.00,"55,500.00"
491,2024091801024011,NABIL,55,19,50,555.00,"27,750.00"
492,2024091801024010,NABIL,53,19,35,555.00,"19,425.00"
493,2024091801024009,NABIL,7,19,20,555.00,"11,100.00"
494,2024091801024008,NABIL,41,19,10,555.00,"5,550.00"
495,2024091801024352,NABIL,56,34,15,556.00,"8,340.00"
496,2024091801024236,NABIL,51,34,150,556.00,"83,400.00"
497,2024091801024017,NABIL,46,19,320,555.00,"177,600.00"
498,2024091801024016,NABIL,49,19,100,555.00,"55,500.00"
499,2024091801024015,NABIL,36,19,100,555.00,"55,500.00"
500,2024091801024014,NABIL,58,19,10,555.00,"5,550.00"
501,2024091801008331,NABIL,64,4,75,557.10,"41,782.50"
502,2024091801008222,NABIL,29,43,22,558.70,"12,291.40"
503,2024091801008216,NABIL,42,43,200,558.70,"111,740.00"
504,2024091801008193,NABIL,93,43,37,558.70,"20,671.90"
505,2024091801008182,NABIL,29,38,27,558.00,"15,066.00"
506,2024091801008153,NABIL,47,38,10,558.00,"5,580.00"
507,2024091801000209,NABIL,57,4,10,562.00,"5,620.00"
508,2024091801000184,NABIL,34,4,100,562.00,"56,200.00"
509,2024091801000173,NABIL,49,4,60,562.00,"33,720.00"
510,2024091801000280,NABIL,22,45,15,563.00,"8,445.00"
511,2024091801000253,NABIL,38,14,10,562.00,"5,620.00"
512,2024091801000252,NABIL,38,4,15,562.00,"8,430.00"
513,2024091801000230,NABIL,14,4,10,562.00,"5,620.00"
514,2024091801000220,NABIL,58,4,20,562.00,"11,240.00"
515,2024091801000216,NABIL,58,4,35,562.00,"19,670.00"
516,2024091801000526,NABIL,38,25,30,562.00,"16,860.00"
517,2024091801000525,NABIL,57,25,150,562.00,"84,300.00"
518,2024091801000524,NABIL,77,25,100,562.00,"56,200.00"
519,2024091801000477,NABIL,49,19,10,563.00,"5,630.00"
520,2024091801000476,NABIL,22,19,15,563.00,"8,445.00"
521,2024091801000416,NABIL,34,57,80,565.00,"45,200.00"
522,2024091801000532,NABIL,28,25,300,560.00,"168,000.00"
523,2024091801000531,NABIL,57,25,100,560.00,"56,000.00"
524,2024091801000530,NABIL,58,25,20,560.00,"11,200.00"
525,2024091801000529,NABIL,48,25,80,560.00,"44,800.00"
526,2024091801000528,NABIL,58,25,10,561.00,"5,610.00"
527,2024091801000527,NABIL,17,25,24,561.00,"13,464.00"
528,2024091801000649,NABIL,63,33,15,560.00,"8,400.00"
529,2024091801000624,NABIL,63,44,100,560.00,"56,000.00"
530,2024091801000623,NABIL,63,45,24,560.00,"13,440.00"
531,2024091801000622,NABIL,63,45,23,560.00,"12,880.00"
532,2024091801000597,NABIL,63,53,50,560.00,"28,000.00"
533,2024091801000533,NABIL,63,25,427,560.00,"239,120.00"
534,2024091801000905,NABIL,4,14,10,555.00,"5,550.00"
535,2024091801000699,NABIL,43,58,100,560.00,"56,000.00"
536,2024091801000698,NABIL,68,58,382,560.00,"213,920.00"
537,2024091801000697,NABIL,63,58,520,560.00,"291,200.00"
538,2024091801000688,NABIL,63,49,300,560.00,"168,000.00"
539,2024091801000680,NABIL,63,49,41,560.00,"22,960.00"
540,2024091801001067,NABIL,41,34,75,553.70,"41,527.50"
541,2024091801001044,NABIL,41,34,150,553.70,"83,055.00"
542,2024091801001043,NABIL,54,34,40,553.80,"22,152.00"
543,2024091801001042,NABIL,29,34,50,554.00,"27,700.00"
544,2024091801001041,NABIL,45,34,50,554.00,"27,700.00"
545,2024091801001040,NABIL,58,34,10,554.00,"5,540.00"
546,2024091801001166,NABIL,49,50,50,552.00,"27,600.00"
547,2024091801001165,NABIL,11,50,150,552.10,"82,815.00"
548,2024091801001164,NABIL,41,50,157,553.70,"86,930.90"
549,2024091801001128,NABIL,58,48,10,559.00,"5,590.00"
550,2024091801001127,NABIL,41,48,100,553.70,"55,370.00"
551,2024091801001111,NABIL,41,58,18,553.70,"9,966.60"
552,2024091801001172,NABIL,35,50,50,550.00,"27,500.00"
553,2024091801001171,NABIL,48,50,100,550.00,"55,000.00"
554,2024091801001170,NABIL,43,50,45,550.00,"24,750.00"
555,2024091801001169,NABIL,32,50,100,550.00,"55,000.00"
556,2024091801001168,NABIL,49,50,50,551.00,"27,550.00"
557,2024091801001167,NABIL,49,50,70,552.00,"38,640.00"
558,2024091801001293,NABIL,42,41,35,551.20,"19,292.00"
559,2024091801001221,NABIL,6,57,12,550.00,"6,600.00"
560,2024091801001212,NABIL,38,25,200,558.80,"111,760.00"
561,2024091801001175,NABIL,6,50,18,550.00,"9,900.00"
562,2024091801001174,NABIL,58,50,100,550.00,"55,000.00"
563,2024091801001173,NABIL,22,50,10,550.00,"5,500.00"
564,2024091801001346,NABIL,19,49,100,550.00,"55,000.00"
565,2024091801001345,NABIL,7,49,19,550.00,"10,450.00"
566,2024091801001344,NABIL,25,49,118,550.10,"64,911.80"
567,2024091801001343,NABIL,56,49,35,551.00,"19,285.00"
568,2024091801001342,NABIL,42,49,300,552.00,"165,600.00"
569,2024091801001294,NABIL,56,41,465,551.00,"256,215.00"
570,2024091801001352,NABIL,64,49,270,550.00,"148,500.00"
571,2024091801001351,NABIL,4,49,590,550.00,"324,500.00"
572,2024091801001350,NABIL,43,49,500,550.00,"275,000.00"
573,2024091801001349,NABIL,26,49,10,550.00,"5,500.00"
574,2024091801001348,NABIL,45,49,900,550.00,"495,000.00"
575,2024091801001347,NABIL,38,49,50,550.00,"27,500.00"
576,2024091801001358,NABIL,13,49,96,550.00,"52,800.00"
577,2024091801001357,NABIL,4,49,120,550.00,"66,000.00"
578,2024091801001356,NABIL,38,49,50,550.00,"27,500.00"
579,2024091801001355,NABIL,4,49,670,550.00,"368,500.00"
580,2024091801001354,NABIL,4,49,360,550.00,"198,000.00"
581,2024091801001353,NABIL,4,49,140,550.00,"77,000.00"
582,2024091801001516,NABIL,59,34,81,550.10,"44,558.10"
583,2024091801001471,NABIL,57,42,200,550.00,"110,000.00"
584,2024091801001470,NABIL,7,42,30,550.00,"16,500.00"
585,2024091801001469,NABIL,38,42,10,553.00,"5,530.00"
586,2024091801001422,NABIL,38,7,15,553.00,"8,295.00"
587,2024091801001421,NABIL,35,7,10,554.00,"5,540.00"
588,2024091801001580,NABIL,38,42,110,554.00,"60,940.00"
589,2024091801001528,NABIL,57,41,47,555.00,"26,085.00"
590,2024091801001520,NABIL,13,34,4,550.00,"2,200.00"
591,2024091801001519,NABIL,49,34,15,550.00,"8,250.00"
