0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
234,2024091504025198,NGPL,58,38,"2,000",454.00,"908,000.00"
235,2024091504025183,NGPL,58,35,945,454.00,"429,030.00"
236,2024091504025170,NGPL,58,46,"1,000",454.00,"454,000.00"
237,2024091504025436,NGPL,26,58,100,454.10,"45,410.00"
238,2024091504025435,NGPL,21,58,50,454.20,"22,710.00"
239,2024091504025434,NGPL,56,58,500,454.20,"227,100.00"
240,2024091504025411,NGPL,39,26,130,455.90,"59,267.00"
241,2024091504025410,NGPL,39,6,10,455.00,"4,550.00"
242,2024091504025409,NGPL,39,8,100,455.00,"45,500.00"
243,2024091504025605,NGPL,38,58,100,453.00,"45,300.00"
244,2024091504025604,NGPL,7,58,10,453.00,"4,530.00"
245,2024091504025562,NGPL,1,45,"1,000",453.00,"453,000.00"
246,2024091504025532,NGPL,25,38,10,454.00,"4,540.00"
247,2024091504025531,NGPL,33,38,300,454.00,"136,200.00"
248,2024091504025437,NGPL,58,58,850,454.00,"385,900.00"
249,2024091504025819,NGPL,67,49,700,452.00,"316,400.00"
250,2024091504025813,NGPL,72,5,43,454.00,"19,522.00"
251,2024091504025812,NGPL,72,8,16,454.00,"7,264.00"
252,2024091504025733,NGPL,72,6,50,453.00,"22,650.00"
253,2024091504025718,NGPL,72,58,91,453.00,"41,223.00"
254,2024091504025717,NGPL,67,94,300,452.00,"135,600.00"
255,2024091504025916,NGPL,26,34,80,452.10,"36,168.00"
256,2024091504025839,NGPL,26,56,20,452.10,"9,042.00"
257,2024091504025823,NGPL,90,49,80,452.00,"36,160.00"
258,2024091504025822,NGPL,38,49,20,452.00,"9,040.00"
259,2024091504025821,NGPL,49,49,150,452.00,"67,800.00"
260,2024091504025820,NGPL,57,49,50,452.00,"22,600.00"
261,2024091504026040,NGPL,72,45,200,451.00,"90,200.00"
262,2024091504026026,NGPL,17,45,50,451.00,"22,550.00"
263,2024091504025998,NGPL,17,58,50,451.00,"22,550.00"
264,2024091504025919,NGPL,46,34,100,452.00,"45,200.00"
265,2024091504025918,NGPL,49,34,200,452.00,"90,400.00"
266,2024091504025917,NGPL,90,34,220,452.00,"99,440.00"
267,2024091504026074,NGPL,54,34,"2,000",450.00,"900,000.00"
268,2024091504026073,NGPL,48,34,800,450.10,"360,080.00"
269,2024091504026072,NGPL,56,34,200,450.20,"90,040.00"
270,2024091504026071,NGPL,21,34,100,450.20,"45,020.00"
271,2024091504026070,NGPL,32,34,"1,239",450.50,"558,169.50"
272,2024091504026068,NGPL,45,45,130,451.00,"58,630.00"
273,2024091504026080,NGPL,49,34,50,450.00,"22,500.00"
274,2024091504026079,NGPL,6,34,100,450.00,"45,000.00"
275,2024091504026078,NGPL,57,34,40,450.00,"18,000.00"
276,2024091504026077,NGPL,41,34,100,450.00,"45,000.00"
277,2024091504026076,NGPL,58,34,200,450.00,"90,000.00"
278,2024091504026075,NGPL,46,34,100,450.00,"45,000.00"
279,2024091504026086,NGPL,32,34,"1,000",450.00,"450,000.00"
280,2024091504026085,NGPL,45,34,"1,500",450.00,"675,000.00"
281,2024091504026084,NGPL,26,34,100,450.00,"45,000.00"
282,2024091504026083,NGPL,45,34,50,450.00,"22,500.00"
283,2024091504026082,NGPL,62,34,"1,000",450.00,"450,000.00"
284,2024091504026081,NGPL,44,34,"1,000",450.00,"450,000.00"
285,2024091504026142,NGPL,58,14,100,450.00,"45,000.00"
286,2024091504026111,NGPL,58,34,97,450.00,"43,650.00"
287,2024091504026110,NGPL,38,34,140,450.00,"63,000.00"
288,2024091504026109,NGPL,21,34,100,450.00,"45,000.00"
289,2024091504026108,NGPL,34,34,23,450.00,"10,350.00"
290,2024091504026087,NGPL,34,34,421,450.00,"189,450.00"
291,2024091504026208,NGPL,58,10,500,449.00,"224,500.00"
292,2024091504026207,NGPL,52,10,100,449.00,"44,900.00"
293,2024091504026206,NGPL,68,10,500,449.00,"224,500.00"
294,2024091504026205,NGPL,54,10,200,449.00,"89,800.00"
295,2024091504026204,NGPL,50,10,258,449.00,"115,842.00"
296,2024091504026143,NGPL,58,19,3,450.00,"1,350.00"
297,2024091504026261,NGPL,25,54,20,449.00,"8,980.00"
298,2024091504026257,NGPL,21,54,278,449.00,"124,822.00"
299,2024091504026250,NGPL,21,39,80,449.00,"35,920.00"
300,2024091504026249,NGPL,26,39,100,449.10,"44,910.00"
301,2024091504026210,NGPL,21,10,142,449.00,"63,758.00"
302,2024091504026209,NGPL,67,10,300,449.00,"134,700.00"
303,2024091504026435,NGPL,52,16,225,448.00,"100,800.00"
304,2024091504026424,NGPL,52,34,400,448.00,"179,200.00"
305,2024091504026423,NGPL,50,34,100,448.00,"44,800.00"
306,2024091504026413,NGPL,50,11,400,448.00,"179,200.00"
307,2024091504026334,NGPL,59,6,300,448.10,"134,430.00"
308,2024091504026333,NGPL,57,6,10,448.90,"4,489.00"
309,2024091504026499,NGPL,58,47,400,447.90,"179,160.00"
310,2024091504026498,NGPL,14,47,900,447.90,"403,110.00"
311,2024091504026465,NGPL,90,45,100,448.00,"44,800.00"
312,2024091504026464,NGPL,52,45,180,448.00,"80,640.00"
313,2024091504026448,NGPL,52,22,100,448.00,"44,800.00"
314,2024091504026445,NGPL,52,51,95,448.00,"42,560.00"
315,2024091504026586,NGPL,80,26,30,448.00,"13,440.00"
316,2024091504026584,NGPL,58,41,590,447.90,"264,261.00"
317,2024091504026566,NGPL,50,26,200,448.00,"89,600.00"
318,2024091504026539,NGPL,59,26,50,448.00,"22,400.00"
319,2024091504026517,NGPL,58,45,340,447.90,"152,286.00"
320,2024091504026513,NGPL,58,43,400,447.90,"179,160.00"
321,2024091504026678,NGPL,25,36,451,448.00,"202,048.00"
322,2024091504026677,NGPL,25,26,90,448.00,"40,320.00"
323,2024091504026666,NGPL,42,29,300,447.00,"134,100.00"
324,2024091504026665,NGPL,58,29,200,447.90,"89,580.00"
325,2024091504026664,NGPL,58,25,20,447.90,"8,958.00"
326,2024091504026649,NGPL,58,57,50,447.90,"22,395.00"
327,2024091504026800,NGPL,38,21,100,449.30,"44,930.00"
328,2024091504026778,NGPL,36,14,500,448.00,"224,000.00"
329,2024091504026697,NGPL,72,16,99,448.00,"44,352.00"
330,2024091504026690,NGPL,72,21,101,448.00,"45,248.00"
331,2024091504026680,NGPL,25,21,199,448.00,"89,152.00"
332,2024091504026679,NGPL,25,22,210,448.00,"94,080.00"
333,2024091504026818,NGPL,72,48,50,451.00,"22,550.00"
334,2024091504026806,NGPL,58,41,50,450.00,"22,500.00"
335,2024091504026805,NGPL,58,6,40,450.00,"18,000.00"
336,2024091504026804,NGPL,58,26,38,450.00,"17,100.00"
337,2024091504026803,NGPL,58,58,100,450.00,"45,000.00"
338,2024091504026801,NGPL,38,58,900,450.00,"405,000.00"
339,2024091504027085,NGPL,14,34,100,454.00,"45,400.00"
340,2024091504027084,NGPL,74,34,14,454.00,"6,356.00"
341,2024091504027083,NGPL,74,5,186,454.00,"84,444.00"
342,2024091504027013,NGPL,57,5,200,454.00,"90,800.00"
343,2024091504026875,NGPL,58,8,150,451.00,"67,650.00"
344,2024091504026874,NGPL,72,8,50,452.00,"22,600.00"
345,2024091504027222,NGPL,34,39,17,455.00,"7,735.00"
346,2024091504027144,NGPL,47,39,83,455.00,"37,765.00"
347,2024091504027143,NGPL,47,56,100,455.00,"45,500.00"
348,2024091504027142,NGPL,47,45,30,455.00,"13,650.00"
349,2024091504027141,NGPL,47,57,101,454.00,"45,854.00"
350,2024091504027140,NGPL,47,34,186,454.00,"84,444.00"
351,2024091504027322,NGPL,80,19,20,457.60,"9,152.00"
352,2024091504027320,NGPL,32,25,100,457.60,"45,760.00"
353,2024091504027275,NGPL,32,25,100,457.60,"45,760.00"
354,2024091504027225,NGPL,34,43,100,456.00,"45,600.00"
355,2024091504027224,NGPL,34,52,"1,000",456.00,"456,000.00"
356,2024091504027223,NGPL,34,34,140,456.00,"63,840.00"
357,2024091504027414,NGPL,32,55,100,460.00,"46,000.00"
358,2024091504027413,NGPL,32,5,50,460.00,"23,000.00"
359,2024091504027412,NGPL,32,21,290,460.00,"133,400.00"
360,2024091504027411,NGPL,32,55,100,460.00,"46,000.00"
361,2024091504027346,NGPL,32,17,100,458.00,"45,800.00"
362,2024091504027323,NGPL,80,41,25,457.70,"11,442.50"
363,2024091504027420,NGPL,32,77,200,460.00,"92,000.00"
364,2024091504027419,NGPL,32,26,200,460.00,"92,000.00"
365,2024091504027418,NGPL,32,35,250,460.00,"115,000.00"
366,2024091504027417,NGPL,32,45,50,460.00,"23,000.00"
367,2024091504027416,NGPL,32,42,300,460.00,"138,000.00"
368,2024091504027415,NGPL,32,50,100,460.00,"46,000.00"
369,2024091504027876,NGPL,29,29,344,459.00,"157,896.00"
370,2024091504027827,NGPL,29,91,40,459.00,"18,360.00"
371,2024091504027825,NGPL,29,32,116,459.00,"53,244.00"
372,2024091504027440,NGPL,26,57,35,458.40,"16,044.00"
373,2024091504027439,NGPL,32,57,160,460.00,"73,600.00"
374,2024091504027421,NGPL,32,57,200,460.00,"92,000.00"
375,2024091504027933,NGPL,58,38,100,459.00,"45,900.00"
376,2024091504027927,NGPL,58,4,200,459.00,"91,800.00"
377,2024091504027910,NGPL,58,7,"1,000",459.00,"459,000.00"
378,2024091504027890,NGPL,58,4,300,459.00,"137,700.00"
379,2024091504027878,NGPL,58,29,236,459.00,"108,324.00"
380,2024091504027877,NGPL,25,29,20,459.00,"9,180.00"
381,2024091504028060,NGPL,26,4,465,458.40,"213,156.00"
382,2024091504028015,NGPL,58,26,10,459.00,"4,590.00"
383,2024091504028014,NGPL,25,26,20,459.00,"9,180.00"
384,2024091504028013,NGPL,25,26,10,459.00,"4,590.00"
385,2024091504028012,NGPL,58,26,164,459.00,"75,276.00"
386,2024091504027955,NGPL,58,4,500,459.00,"229,500.00"
387,2024091504028157,NGPL,34,41,500,456.00,"228,000.00"
388,2024091504028097,NGPL,32,16,50,458.00,"22,900.00"
389,2024091504028096,NGPL,14,16,935,458.00,"428,230.00"
390,2024091504028083,NGPL,14,19,65,458.00,"29,770.00"
391,2024091504028082,NGPL,32,19,65,458.00,"29,770.00"
392,2024091504028061,NGPL,32,4,35,458.00,"16,030.00"
393,2024091504028249,NGPL,57,6,156,455.00,"70,980.00"
394,2024091504028232,NGPL,57,45,100,455.00,"45,500.00"
395,2024091504028180,NGPL,57,58,157,455.00,"71,435.00"
396,2024091504028179,NGPL,49,58,243,455.10,"110,589.30"
397,2024091504028160,NGPL,49,38,757,455.10,"344,510.70"
398,2024091504028159,NGPL,34,38,243,456.00,"110,808.00"
399,2024091504028372,NGPL,21,38,80,454.00,"36,320.00"
400,2024091504028285,NGPL,36,1,50,455.00,"22,750.00"
401,2024091504028278,NGPL,57,1,287,455.00,"130,585.00"
402,2024091504028270,NGPL,57,58,300,455.00,"136,500.00"
403,2024091504028265,NGPL,57,38,413,455.00,"187,915.00"
404,2024091504028264,NGPL,57,38,587,455.00,"267,085.00"
405,2024091504028495,NGPL,45,43,50,450.00,"22,500.00"
406,2024091504028494,NGPL,36,43,200,450.00,"90,000.00"
407,2024091504028493,NGPL,58,43,"1,772",450.00,"797,400.00"
408,2024091504028492,NGPL,29,43,250,451.00,"112,750.00"
409,2024091504028491,NGPL,80,43,50,451.00,"22,550.00"
410,2024091504028490,NGPL,58,43,100,451.10,"45,110.00"
411,2024091504028590,NGPL,58,45,300,449.00,"134,700.00"
412,2024091504028500,NGPL,54,40,100,450.00,"45,000.00"
413,2024091504028499,NGPL,29,40,200,450.00,"90,000.00"
414,2024091504028498,NGPL,42,40,72,450.00,"32,400.00"
415,2024091504028497,NGPL,42,43,28,450.00,"12,600.00"
416,2024091504028496,NGPL,19,43,50,450.00,"22,500.00"
417,2024091504028887,NGPL,42,1,200,447.00,"89,400.00"
418,2024091504028859,NGPL,58,37,140,448.00,"62,720.00"
419,2024091504028770,NGPL,74,37,100,448.00,"44,800.00"
420,2024091504028766,NGPL,80,37,50,448.00,"22,400.00"
421,2024091504028706,NGPL,36,58,500,448.00,"224,000.00"
422,2024091504028705,NGPL,53,58,500,448.10,"224,050.00"
423,2024091504029151,NGPL,43,45,233,446.30,"103,987.90"
424,2024091504029010,NGPL,26,58,10,446.20,"4,462.00"
425,2024091504029001,NGPL,14,45,50,447.00,"22,350.00"
426,2024091504028942,NGPL,48,45,270,447.00,"120,690.00"
427,2024091504028941,NGPL,45,45,147,447.00,"65,709.00"
428,2024091504028888,NGPL,45,1,53,447.00,"23,691.00"
429,2024091504029338,NGPL,34,16,120,447.00,"53,640.00"
430,2024091504029317,NGPL,34,6,500,447.00,"223,500.00"
431,2024091504029270,NGPL,34,4,"1,000",447.00,"447,000.00"
432,2024091504029250,NGPL,34,43,30,447.00,"13,410.00"
433,2024091504029235,NGPL,34,45,200,447.00,"89,400.00"
434,2024091504029221,NGPL,34,48,150,447.00,"67,050.00"
435,2024091504029498,NGPL,26,37,500,448.00,"224,000.00"
436,2024091504029492,NGPL,43,16,990,447.10,"442,629.00"
437,2024091504029491,NGPL,49,16,10,447.20,"4,472.00"
438,2024091504029459,NGPL,55,37,50,448.00,"22,400.00"
439,2024091504029345,NGPL,74,37,100,448.00,"44,800.00"
440,2024091504029339,NGPL,58,16,880,447.00,"393,360.00"
441,2024091504029652,NGPL,3,43,30,448.00,"13,440.00"
442,2024091504029651,NGPL,3,37,50,448.00,"22,400.00"
443,2024091504029609,NGPL,45,22,500,447.20,"223,600.00"
444,2024091504029608,NGPL,44,37,50,448.00,"22,400.00"
445,2024091504029598,NGPL,36,37,50,448.00,"22,400.00"
446,2024091504029565,NGPL,21,37,10,448.00,"4,480.00"
447,2024091504029887,NGPL,13,21,380,448.00,"170,240.00"
448,2024091504029820,NGPL,13,19,20,448.00,"8,960.00"
449,2024091504029714,NGPL,3,19,30,448.00,"13,440.00"
450,2024091504029687,NGPL,3,6,160,448.00,"71,680.00"
451,2024091504029654,NGPL,3,45,30,448.00,"13,440.00"
452,2024091504029653,NGPL,3,55,100,448.00,"44,800.00"
453,2024091504030131,NGPL,26,40,128,450.00,"57,600.00"
454,2024091504030130,NGPL,26,51,300,449.00,"134,700.00"
455,2024091504030065,NGPL,51,11,220,448.00,"98,560.00"
456,2024091504030031,NGPL,89,11,280,448.00,"125,440.00"
457,2024091504030030,NGPL,89,21,720,448.00,"322,560.00"
458,2024091504030025,NGPL,26,21,500,448.00,"224,000.00"
